19.5,1.2,1.16,1.4,1.28,-0.0216,2.582790614
20,1.24,1.2,1.28,1.28,-0.0228,0.9931073171
20.5,1.14,1.14,1.28,1.2,-0.012,-0.4064915438
21,1.24,1.24,1.3,1.2,-0.0252,-1.361401003
21.5,1.2,1.3,1.26,1.26,-0.0156,3.940436916
22,1.1,1.2,1.22,1.28,-0.013,-1.416992309
22.5,1.16,1.2,1.16,1.26,-0.0244,-2.367991616
23,1.2,1.2,1.24,1.24,-0.0038,1.739780861
23.5,1.22,1.14,1.24,1.2,-0.0156,1.193001322
24,1.2,1.16,1.22,1.34,-0.0076,-2.845885151
24.5,1.14,1.3,1.3,1.22,-0.023,0.05944295063
25,1.22,1.24,1.38,1.22,-0.0276,1.246173389
25.5,1.3,1.18,1.36,1.28,-0.0204,-0.4787917762
26,1.34,1.12,1.32,1.28,-0.02,-0.181028403
26.5,1.18,1.14,1.32,1.22,-0.0196,-4.061681673
27,1.28,1.24,1.2,1.38,-0.0188,-1.040934874
27.5,1.26,1.24,1.3,1.24,-0.023,3.567833442
28,1.22,1.28,1.24,1.38,-0.0194,-0.5861670667
28.5,1.3,1.2,1.24,1.34,-0.014,0.5181482074
29,1.3,1.24,1.26,1.34,-0.0108,-4.208093229
29.5,1.28,1.16,1.28,1.3,0.0054,-2.534165543
30,1.14,1.26,1.34,1.26,0.0002,-2.97959863
30.5,1.24,1.4,1.34,1.32,-0.0248,-1.073274515
31,1.24,1.3,1.24,1.32,-0.0074,1.588801738
31.5,1.16,1.28,1.28,1.24,-0.0094,-0.4356420293
32,1.34,1.14,1.28,1.28,0.0012,3.264413204
32.5,1.1,1.08,1.14,1.2,-0.0324,-1.201424459
33,0.72,0.92,0.86,0.9,-0.0398,-4.329777629
33.5,0.58,0.56,0.68,0.68,0.006,-1.927503435
34,0.38,0.32,0.38,0.44,-0.005,1.031886251
35,0.3,0.16,0.14,0.22,0.2504,15.8578823
36,0.3,0.18,0.36,0.22,0.25,28.98856069
36.5,0.44,0.16,0.34,0.14,0.5174,44.63179624
37,0.28,0.14,0.38,0.2,0.5228,61.28178648
37.5,0.38,0.04,0.4,0.16,0.5066,77.03857275
38,0.36,0.14,0.44,0.18,0.4984,88.9898549
38.5,0.26,0.18,0.42,0.08,0.4874,105.5011013
39,0.34,0.16,0.38,0.2,0.4908,116.7791812
39.5,0.34,0.2,0.3,0.18,0.5076,128.4680267
40,0.32,0.1,0.32,0.16,0.4928,144.8426987
40.5,0.3,0.12,0.34,0.16,0.528,166.2214273
41,0.3,0.12,0.36,0.12,0.5268,178.9961266
41.5,0.36,0.4,0.42,0.3,-0.0094,179.2135801
42,0.62,0.64,0.66,0.7,-0.0158,178.7336114
42.5,0.8,0.8,0.86,0.88,-0.0046,186.1938065
43,1.08,1.06,1.08,1.16,-0.008,182.8288062
43.5,1.24,1.18,1.24,1.32,-0.0236,176.1082852
44,1.24,1.22,1.3,1.36,-0.0194,177.4730856
44.5,1.2,1.24,1.26,1.32,-0.009,182.3091496
45,1.24,1.16,1.28,1.4,-0.006,178.8259156
45.5,1.16,1.18,1.3,1.36,-0.0086,181.4518658
46,1.2,1.18,1.24,1.3,-0.0078,177.5446212
46.5,1.16,1.34,1.24,1.24,-0.0122,180.9324968
47,1.22,1.22,1.32,1.32,-0.0098,181.725246
47.5,1.24,1.24,1.3,1.26,-0.009,178.9365218
48,1.24,1.24,1.22,1.26,-0.0116,176.710921
48.5,1.16,1.2,1.14,1.3,-0.0234,178.1654585
49,1.26,1.26,1.26,1.2,-0.0054,178.968162
49.5,1.18,1.24,1.28,1.36,-0.0128,182.8984399
50,1.28,1.26,1.34,1.26,-0.0178,182.0438236
50.5,1.14,1.22,1.3,1.28,-0.0396,175.4589093
51,1.18,1.24,1.3,1.3,-0.0268,183.3648131
51.5,1.18,1.2,1.3,1.26,-0.0188,177.0151049
52,1.24,1.28,1.38,1.18,-0.0078,175.3372112
52.5,1.16,1.22,1.26,1.3,-0.0056,180.6189011
53,1.18,1.12,1.26,1.18,-0.01,183.5202295
53.5,1.16,1.18,1.18,1.34,0.0002,176.8581545
54,1.26,1.22,1.26,1.3,0.001,181.832974
54.5,1.22,1.26,1.2,1.22,-0.0136,184.1665837
55,1.26,1.22,1.3,1.32,-0.018,182.2194077
55.5,1.22,1.26,1.24,1.28,-0.0098,181.3541424
56,1.18,1.3,1.26,1.28,-0.0154,176.4185339
56.5,1.18,1.24,1.32,1.34,-0.039,179.0855381
57,1.2,1.3,1.24,1.26,-0.0342,177.4377425
57.5,1.24,1.24,1.28,1.34,-0.0132,177.642139
58,1.2,1.2,1.34,1.28,-0.0302,179.0128719
58.5,1.18,1.26,1.34,1.34,-0.031,181.3025015
59,1.16,1.2,1.32,1.34,-0.0406,173.0801385
59.5,1.22,1.18,1.24,1.34,0.0138,176.3141083
60,1.28,1.2,1.28,1.34,0.0006,180.3776513
60.5,1.2,1.36,1.34,1.3,-0.0008,176.6202178
61,1.2,1.22,1.3,1.28,0.0062,181.037631
61.5,1.2,1.22,1.32,1.36,0.005,179.6380138
62,1.26,1.22,1.32,1.36,-0.011,176.8932199
62.5,1.18,1.16,1.3,1.26,0.0128,181.2340768
63,1.24,1.24,1.28,1.3,-0.0022,180.4390912
63.5,1.22,1.24,1.24,1.36,-0.0282,179.0455207
64,1.34,1.28,1.26,1.32,-0.0068,185.6989735
64.5,1.16,1.26,1.32,1.34,-0.024,181.2126983
65,1.16,1.24,1.3,1.28,-0.0252,182.7064795
65.5,1.14,1.26,1.16,1.3,-0.039,182.6025672
66,1.24,1.24,1.26,1.32,-0.0572,180.6805269
66.5,1.16,1.24,1.3,1.28,-0.0216,179.3503248
67,1.18,1.24,1.34,1.18,-0.0134,179.3917598
67.5,1.2,1.2,1.28,1.32,0.011,179.1876089
68,1.28,1.18,1.26,1.28,0.003,179.3172173
68.5,1.26,1.18,1.2,1.26,-0.001,176.408362
69,1.26,1.22,1.28,1.36,-0.0128,181.3033456
69.5,1.16,1.22,1.26,1.3,-0.0138,180.4438717
70,1.26,1.2,1.3,1.26,-0.0124,176.8819344
70.5,1.2,1.2,1.24,1.28,-0.027,181.0181271
71,1.32,1.2,1.32,1.32,-0.0236,180.3756078
71.5,1.16,1.22,1.36,1.26,0.0086,178.4380261
72,1.24,1.16,1.28,1.3,-0.0208,176.9087776
72.5,1.06,1.18,1.12,1.3,-0.0296,182.9158523
73,0.84,0.74,0.96,0.94,-0.0302,178.208278
73.5,0.62,0.6,0.6,0.64,-0.0294,175.6902402
74,0.34,0.34,0.52,0.42,-0.0176,178.3271878
74.5,0.24,0.22,0.22,0.3,-0.5342,163.6268162
75,0.1,0.34,0.18,0.4,-0.5394,147.8783262
75.5,0.14,0.26,0.16,0.28,-0.524,134.9625437
76,0.14,0.38,0.1,0.3,-0.539,118.8464454
76.5,0.22,0.38,0.26,0.42,-0.5428,101.8394316
77,0.1,0.34,0.16,0.34,-0.5434,89.30797095
77.5,0.12,0.42,0.14,0.38,-0.512,76.24935357
78,0.28,0.32,0.16,0.4,-0.5318,60.87664145
78.5,0.14,0.44,0.04,0.34,-0.531,43.87362295
79,0.2,0.4,0.16,0.36,-0.522,28.39198669
79.5,0.2,0.38,0.18,0.4,-0.5302,15.89954157
80,0.1,0.28,0.24,0.32,-0.5248,1.878118985
80.5,0.26,0.46,0.34,0.4,-0.0318,1.178230504
81,0.58,0.56,0.66,0.7,-0.0306,-1.247261523
81.5,0.78,0.78,0.88,0.92,-0.0042,-1.470001671
82,1.04,1.1,1.1,1.18,-0.0198,0.3489886275
82.5,1.14,1.26,1.26,1.26,-0.0062,0.007375750934
83,1.24,1.24,1.32,1.36,-0.008,1.19246696
83.5,1.16,1.22,1.22,1.32,-0.015,0.2499684553
84,1.22,1.28,1.28,1.32,-0.0178,-3.563775722
84.5,1.28,1.2,1.14,1.34,-0.0072,-1.199640368
85,1.2,1.18,1.28,1.24,-0.0076,2.083547841
85.5,1.3,1.26,1.34,1.34,-0.02,0.2065610434
86,1.28,1.26,1.28,1.34,-0.0232,0.5172281853
86.5,1.3,1.3,1.3,1.26,0.0028,-1.399779894
87,1.2,1.22,1.26,1.24,-0.0136,-0.313257077
87.5,1.18,1.16,1.28,1.3,-0.0368,2.790397631
88,1.1,1.24,1.3,1.28,-0.039,-3.767833114
88.5,1.2,1.24,1.32,1.28,-0.008,-1.201168465
89,1.26,1.24,1.28,1.3,-0.0068,2.122782837
89.5,1.14,1.24,1.32,1.3,-0.0096,1.933871159
90,1.14,1.22,1.28,1.3,-0.0186,-1.029867495
90.5,1.28,1.26,1.26,1.3,0.0008,-0.5226269718
91,1.18,1.2,1.28,1.34,0.007,1.936604614
91.5,1.22,1.32,1.32,1.3,-0.026,1.563287019
92,1.24,1.24,1.28,1.32,-0.004,-2.599230597
92.5,1.12,1.18,1.24,1.34,-0.0238,-0.4948965034
93,1.16,1.1,1.3,1.24,-0.022,-2.677899102
93.5,1.06,1.24,1.34,1.32,-0.0108,-0.2572019169
94,1.22,1.22,1.28,1.24,-0.0154,-1.816689442
94.5,1.2,1.2,1.32,1.42,-0.0102,-0.07841013443
95,1.26,1.18,1.26,1.4,-0.007,4.026528302
95.5,1.26,1.2,1.32,1.32,0.0048,1.080754868
96,1.28,1.2,1.3,1.26,0.007,1.075103321
96.5,1.32,1.26,1.32,1.24,-0.0204,-2.589972075
97,1.26,1.22,1.26,1.24,-0.0232,-1.358905388
97.5,1.24,1.22,1.32,1.32,-0.0078,0.5489362493
98,1.28,1.2,1.32,1.32,-0.0034,3.63822047
98.5,1.26,1.22,1.32,1.22,-0.0128,2.198137092
99,1.16,1.2,1.3,1.24,-0.0028,1.717488412
99.5,1.22,1.16,1.26,1.22,-0.0042,1.484270973
100,1.26,1.22,1.34,1.28,-0.0142,2.062978689
100.5,1.22,1.28,1.32,1.26,-0.0158,0.1948708172
101,1.22,1.32,1.32,1.26,-0.0354,-1.983343144
101.5,1.12,1.2,1.14,1.24,-0.0214,0.6852036525
102,1.32,1.28,1.34,1.34,-0.0274,-0.1914063119
102.5,1.18,1.18,1.3,1.24,-0.0076,1.254942556
103,1.14,1.2,1.28,1.2,-0.0216,1.613407915
103.5,1.16,1.26,1.28,1.4,-0.016,-2.911397805
104,1.26,1.2,1.28,1.34,-0.0118,0.9636202415
104.5,1.22,1.18,1.18,1.22,-0.031,-3.044556763
105,1.26,1.22,1.24,1.24,-0.0266,-1.931859673
105.5,1.22,1.28,1.22,1.2,-0.0168,-2.650358628
106,1.24,1.22,1.3,1.26,-0.0094,-0.3848670988
106.5,1.22,1.22,1.22,1.22,-0.0214,-1.996392903
107,1.22,1.12,1.26,1.34,-0.002,-1.183488355
107.5,1.26,1.2,1.28,1.36,-0.0174,-1.528256914
108,1.24,1.28,1.2,1.3,0.006,1.225456128
108.5,1.12,1.28,1.38,1.24,-0.0066,-2.842030076
109,1.14,1.14,1.26,1.2,-0.008,-1.764078476
